time,week,boxID,season,subject_id,building_id,gender,age_group,thermal_sensation,thermal_preference,thermal_acceptability,clo,met,air_con,blind_curtain,window,door,heater,fan_portable,ta,vel,rh,tg,t_out_min,t_out_max,rain_out,sunshine_out,rh_out_9am,t_out_mean,rh_out_mean,running_mean_t_out,utci_am,utci_pm,tr,top,vel_r,pmv,adaptive_tmp_cmf,adaptive_acceptability_80,set,city,country,climate,cooling_type,building_type,pmv_7point,discrepancy,thermal_sensation_3point,pmv_3point,age,personal_mean_discrepancy,personal_discrepancy_variance,personal_discrepancy_std,personal_mean_clo,day_hour,year
11/10/2021 11:34,1,4,winter,101,8,female,25 - 34,0,0,1,0.7,1.1,1,0,1,1,0,0,24.27,0.01,58.07,24.48,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,24.53,24.47,0.04,0.16,25.7,TRUE,25.3,brisbane,australia,humid subtropical,air conditioned,office,0,0.16,0,0,30,0.34,0.13,0.36,0.74,11,2021
11/10/2021 11:36,1,1,winter,1,8,female,35 - 44,0,0,1,0.5,1.1,1,0,1,1,0,0,23.87,0.12,60.74,23.91,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,23.95,23.91,0.15,-0.5,25.7,TRUE,23.3,brisbane,australia,humid subtropical,air conditioned,office,0,-0.50,0,-1,40,0.65,0.92,0.96,0.89,11,2021
11/10/2021 11:36,1,7,winter,123,4,female,25 - 34,-1,0,1,0.7,1.1,1,0,1,1,0,0,24.9,0.01,59.49,25.63,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,25.81,25.59,0.04,0.45,25.7,TRUE,26.4,brisbane,australia,humid subtropical,air conditioned,office,0,1.45,-1,0,30,0.13,0.64,0.80,0.70,11,2021
11/10/2021 11:46,1,10,winter,119,7,female,25 - 34,-3,1,0,0.5,1.1,1,1,1,1,0,0,22.91,0.11,61.89,22.63,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,22.33,22.63,0.14,-0.87,25.7,TRUE,21.9,brisbane,australia,humid subtropical,air conditioned,office,-1,2.13,-1,-1,30,1.40,0.61,0.78,0.72,11,2021
11/10/2021 11:53,1,3,winter,102,8,female,25 - 34,-1,1,1,0.4,1.1,1,0,1,1,0,0,24.15,0.05,59.36,24.16,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,24.17,24.16,0.08,-0.56,25.7,TRUE,22.7,brisbane,australia,humid subtropical,air conditioned,office,-1,0.44,-1,-1,30,0.39,0.56,0.75,0.69,11,2021
11/10/2021 11:53,1,6,winter,104,8,female,25 - 34,-1,1,1,0.5,1.1,1,0,1,1,0,0,21.38,0.13,57.1,22.06,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,22.87,22.08,0.16,-1.19,25.7,FALSE,21.4,brisbane,australia,humid subtropical,air conditioned,office,-1,-0.19,-1,-1,30,-0.29,1.38,1.17,0.64,11,2021
11/10/2021 12:17,1,9,winter,103,7,female,25 - 34,-3,1,1,0.8,3,1,0,1,1,0,0,22.23,0.21,63.13,22.32,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,22.46,22.32,0.81,1.78,25.7,TRUE,31.1,brisbane,australia,humid subtropical,air conditioned,office,2,4.78,-1,1,30,1.22,2.85,1.69,0.64,12,2021
11/10/2021 13:14,1,4,winter,101,8,female,25 - 34,0,0,1,0.7,1.1,1,0,1,1,0,0,23.89,0.04,60.88,24.16,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,24.32,24.15,0.07,0.09,25.7,TRUE,25.1,brisbane,australia,humid subtropical,air conditioned,office,0,0.09,0,0,30,0.34,0.13,0.36,0.74,13,2021
11/10/2021 13:18,1,10,winter,119,7,female,25 - 34,-2,0,1,0.5,1.7,1,1,1,1,0,0,22.1,0.05,63.13,22.26,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,22.37,22.26,0.26,0.25,25.7,TRUE,23,brisbane,australia,humid subtropical,air conditioned,office,0,2.25,-1,0,30,1.40,0.61,0.78,0.72,13,2021
11/10/2021 13:25,1,6,winter,104,8,female,25 - 34,-2,0,1,0.5,1.7,1,0,1,1,0,0,21.71,0.31,59.19,21.87,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,22.19,21.88,0.52,-0.24,25.7,FALSE,22.6,brisbane,australia,humid subtropical,air conditioned,office,0,1.76,-1,0,30,-0.29,1.38,1.17,0.64,13,2021
11/10/2021 14:01,1,3,winter,102,8,female,25 - 34,-1,1,1,0.5,1.1,1,0,1,1,0,0,24.12,0.08,61.92,23.91,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,23.72,23.91,0.11,-0.37,25.7,TRUE,23.3,brisbane,australia,humid subtropical,air conditioned,office,0,0.63,-1,0,30,0.39,0.56,0.75,0.69,14,2021
11/10/2021 14:30,1,9,winter,103,7,female,25 - 34,-3,1,0,0.8,1.7,1,0,1,1,0,0,22.84,0.19,64.8,22.89,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,22.96,22.89,0.4,0.64,25.7,TRUE,27,brisbane,australia,humid subtropical,air conditioned,office,1,3.64,-1,1,30,1.22,2.85,1.69,0.64,14,2021
11/10/2021 15:04,1,10,winter,119,7,female,25 - 34,-2,1,1,0.8,1.1,1,1,1,1,0,0,22.14,0.05,66.79,22.44,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,22.64,22.43,0.08,-0.2,25.7,TRUE,24.2,brisbane,australia,humid subtropical,air conditioned,office,0,1.80,-1,0,30,1.40,0.61,0.78,0.72,15,2021
11/10/2021 15:26,1,2,winter,2,8,female,35 - 44,-1,0,1,0.5,1.1,1,0,1,1,0,0,24.21,0.11,62.72,24.1,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,23.98,24.1,0.14,-0.37,25.7,TRUE,23.5,brisbane,australia,humid subtropical,air conditioned,office,0,0.63,-1,0,40,0.56,0.64,0.80,0.86,15,2021
11/10/2021 15:35,1,4,winter,101,8,female,25 - 34,-1,1,1,0.7,1.1,1,0,1,1,0,0,24.13,0.04,62.43,24.28,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,24.37,24.28,0.07,0.15,25.7,TRUE,25.3,brisbane,australia,humid subtropical,air conditioned,office,0,1.15,-1,0,30,0.34,0.13,0.36,0.74,15,2021
11/10/2021 16:09,1,3,winter,102,8,female,25 - 34,0,0,1,0.5,1.1,1,0,1,1,0,0,23.51,0,63.06,23.97,22.9,29.5,0,7.5,79,27.3,77.5,25.4,26.6,27.6,23.97,23.97,0.03,-0.44,25.7,TRUE,23.1,brisbane,australia,humid subtropical,air conditioned,office,0,-0.44,0,0,30,0.39,0.56,0.75,0.69,16,2021
