timestamp,timestamp,month-name,month-date,t_out_min,t_out_max,rain_out,sunshine_out,t_out_9am,rh_out_9am,wind_out_9am,t_out_3pm,rh_out_3pm,wind_out_3pm,t_out_mean,rh_out_mean,running_mean_t_out,utci_am,utci_pm
2021-01-09,2021-01-09,sep,9/21,16.9,26.8,0.0,8.3,21.0,75,1.1,25.0,53,0.3,24.27,64.0,0.0,21.7,25.1
2021-02-09,2021-02-09,sep,9/21,16.4,23.7,3.4,10.2,21.1,61,0.6,21.9,49,0.3,22.23,55.0,0.0,21.5,21.7
2021-03-09,2021-03-09,sep,9/21,15.2,24.5,0.2,8.0,18.6,79,1.9,22.6,54,1.9,21.9,66.5,0.0,18.0,21.2
2021-04-09,2021-04-09,sep,9/21,14.4,24.3,2.2,5.0,19.4,74,1.1,22.1,59,0.6,21.93,66.5,0.0,19.9,22.4
2021-05-09,2021-05-09,sep,9/21,15.0,24.4,0.0,3.0,19.2,74,1.9,20.7,77,1.9,21.43,75.5,0.0,18.4,20.3
2021-06-09,2021-06-09,sep,9/21,11.1,23.8,0.2,9.9,15.7,48,1.7,23.4,24,0.6,20.97,36.0,0.0,13.9,22.0
2021-07-09,2021-07-09,sep,9/21,10.8,24.2,0.0,11.0,18.1,34,0.0,22.9,23,0.0,21.73,28.5,0.0,17.5,21.5
2021-08-09,2021-08-09,sep,9/21,9.8,23.9,0.0,10.5,17.4,53,0.3,23.3,43,0.6,21.53,48.0,21.8,17.5,22.7
2021-09-09,2021-09-09,sep,9/21,12.3,25.0,0.0,10.3,18.7,62,0.3,23.0,43,0.3,22.23,52.5,21.6,19.2,22.4
2021-10-09,2021-10-09,sep,9/21,12.1,30.1,0.0,10.7,19.9,59,0.0,29.2,23,0.0,26.4,41.0,21.7,20.2,27.6
2021-11-09,2021-11-09,sep,9/21,12.3,25.9,0.0,11.0,20.2,54,0.0,24.5,44,0.3,23.53,49.0,22.9,20.3,24.0
2021-12-09,2021-12-09,sep,9/21,12.0,26.1,0.0,10.7,21.3,54,0.3,24.2,53,0.3,23.87,53.5,23.1,21.3,24.2
2021-09-13,2021-09-13,sep,9/21,14.7,28.9,0.0,10.8,23.8,55,0.3,24.1,73,1.9,25.6,64.0,23.4,24.0,24.2
2021-09-14,2021-09-14,sep,9/21,14.2,22.5,0.8,10.9,18.4,35,0.3,21.4,19,0.6,20.77,27.0,24.1,17.8,20.0
2021-09-15,2021-09-15,sep,9/21,10.6,24.9,0.0,11.1,17.8,40,0.0,23.8,23,0.3,22.17,31.5,23.4,17.4,22.3
2021-09-16,2021-09-16,sep,9/21,11.4,24.1,0.0,10.4,18.4,48,0.3,21.8,46,0.3,21.43,47.0,23.2,18.3,21.4
2021-09-17,2021-09-17,sep,9/21,12.0,24.8,0.0,11.0,19.1,55,0.3,22.7,52,0.3,22.2,53.5,22.8,19.2,22.6
2021-09-18,2021-09-18,sep,9/21,13.5,25.2,0.0,8.9,21.4,59,0.3,23.3,52,1.1,23.3,55.5,22.4,21.7,22.8
2021-09-19,2021-09-19,sep,9/21,15.5,28.2,0.0,10.9,23.4,51,0.3,26.4,35,0.3,26.0,43.0,22.6,23.3,25.4
2021-09-20,2021-09-20,sep,9/21,15.2,26.9,0.0,10.8,22.7,64,0.3,25.3,60,0.3,24.97,62.0,23.4,23.4,25.9
2021-09-21,2021-09-21,sep,9/21,16.9,24.7,0.0,11.1,22.3,36,0.3,20.3,20,0.6,22.43,28.0,23.7,21.4,19.1
2021-09-22,2021-09-22,sep,9/21,14.0,25.6,0.0,11.3,16.7,35,0.3,21.9,26,0.3,21.4,30.5,23.5,16.3,20.7
2021-09-23,2021-09-23,sep,9/21,14.0,25.6,0.0,11.4,18.2,45,0.3,23.8,32,0.0,22.53,38.5,23.0,18.0,22.7
2021-09-24,2021-09-24,sep,9/21,14.0,27.0,0.0,11.2,20.7,57,0.0,24.7,50,0.3,24.13,53.5,23.0,20.9,24.6
2021-09-25,2021-09-25,sep,9/21,12.1,28.8,0.0,10.8,22.4,49,1.7,25.1,47,1.1,25.43,48.0,23.3,21.0,24.5
2021-09-26,2021-09-26,sep,9/21,16.6,26.0,0.0,4.2,22.5,59,1.9,22.6,57,1.9,23.7,58.0,23.9,21.4,21.4
2021-09-27,2021-09-27,sep,9/21,15.2,19.8,0.4,0.5,18.7,68,2.2,19.3,53,1.9,19.27,60.5,23.7,17.0,17.5
2021-09-28,2021-09-28,sep,9/21,13.9,21.8,0.0,2.0,19.5,49,2.2,20.6,48,2.2,20.63,48.5,22.5,17.1,18.2
2021-09-29,2021-09-29,sep,9/21,13.0,23.6,0.2,1.0,20.7,61,2.2,21.4,55,2.2,21.9,58.0,22.0,19.0,19.5
2021-09-30,2021-09-30,sep,9/21,17.1,26.7,3.4,7.0,20.5,75,1.9,22.9,73,1.7,23.37,74.0,22.0,20.0,23.0
2021-01-10,2021-01-10,oct,10/21,15.6,27.7,15.0,4.1,19.0,80,1.9,25.7,52,0.6,24.13,66.0,22.4,18.5,25.7
2021-02-10,2021-02-10,oct,10/21,12.6,28.9,8.8,11.2,19.2,70,0.0,28.5,26,0.8,25.53,48.0,22.7,20.1,27.0
2021-03-10,2021-03-10,oct,10/21,14.0,30.9,0.0,11.6,24.5,44,0.8,28.0,31,0.3,27.8,37.5,23.3,23.9,26.8
2021-04-10,2021-04-10,oct,10/21,15.3,36.6,0.0,10.8,24.1,64,0.3,36.0,15,0.3,32.23,39.5,24.4,24.9,34.3
2021-05-10,2021-05-10,oct,10/21,15.8,31.0,0.0,0.0,25.3,21,0.0,30.3,12,0.0,28.87,16.5,26.7,23.6,28.1
2021-06-10,2021-06-10,oct,10/21,14.6,27.1,0.0,0.0,23.0,29,0.0,24.6,36,0.0,24.9,32.5,27.5,21.8,23.6
2021-07-10,2021-07-10,oct,10/21,14.2,26.4,0.0,8.6,23.2,55,0.3,24.2,55,1.9,24.6,55.0,27.2,23.3,23.1
2021-08-10,2021-08-10,oct,10/21,16.8,29.1,0.6,11.3,25.0,44,0.3,26.2,52,0.3,26.77,48.0,26.7,24.5,26.3
2021-09-10,2021-09-10,oct,10/21,17.9,27.7,0.0,0.0,24.2,64,0.8,26.0,50,0.3,25.97,57.0,26.9,24.8,26.0
2021-10-10,2021-10-10,oct,10/21,19.8,28.1,0.0,0.0,25.2,52,0.3,25.8,54,0.3,26.37,53.0,26.7,25.2,26.0
2021-11-10,2021-11-10,oct,10/21,18.9,28.3,0.0,7.1,24.1,56,1.9,25.6,57,1.9,26.0,56.5,26.6,23.1,24.9
2021-12-10,2021-12-10,oct,10/21,16.1,22.4,35.2,0.7,18.2,86,2.2,21.6,72,1.9,20.73,79.0,26.1,17.3,21.1
2021-10-13,2021-10-13,oct,10/21,16.8,24.9,0.6,7.8,20.0,84,1.9,22.8,67,0.8,22.57,75.5,24.6,19.9,23.5
2021-10-14,2021-10-14,oct,10/21,17.1,26.2,51.4,0.0,18.3,94,2.2,23.9,57,1.9,22.8,75.5,24.1,17.8,22.9
2021-10-15,2021-10-15,oct,10/21,18.1,30.1,0.8,0.0,26.2,71,1.4,26.8,55,0.3,27.7,63.0,23.7,27.2,27.2
2021-10-16,2021-10-16,oct,10/21,12.1,27.7,0.2,12.8,23.0,34,0.3,27.4,19,0.3,26.03,26.5,24.6,22.0,25.6
2021-10-17,2021-10-17,oct,10/21,12.5,27.6,0.0,12.1,22.4,32,0.0,26.1,30,0.3,25.37,31.0,24.9,21.3,24.8
2021-10-18,2021-10-18,oct,10/21,17.0,26.1,0.0,0.0,24.1,62,1.9,23.1,74,2.2,24.43,68.0,24.9,23.5,22.6
2021-10-19,2021-10-19,oct,10/21,14.9,28.4,18.0,0.0,19.9,73,0.6,26.7,42,0.6,25.0,57.5,24.7,20.9,26.1
2021-10-20,2021-10-20,oct,10/21,16.0,27.3,0.0,11.5,24.5,60,0.3,23.8,67,1.9,25.2,63.5,25.0,25.0,23.4
2021-10-21,2021-10-21,oct,10/21,16.6,26.7,2.4,8.5,23.7,68,1.9,22.4,61,1.9,24.27,64.5,25.2,23.4,21.4
2021-10-22,2021-10-22,oct,10/21,18.4,26.9,9.2,6.4,21.6,88,1.9,25.9,64,0.6,24.8,76.0,25.1,22.1,26.9
2021-10-23,2021-10-23,oct,10/21,20.8,29.8,0.2,7.3,25.6,68,1.9,27.3,67,0.3,27.57,67.5,24.9,25.7,28.8
2021-10-24,2021-10-24,oct,10/21,20.5,33.3,2.6,11.2,29.7,35,0.8,33.1,25,1.9,32.03,30.0,25.5,28.9,31.8
2021-10-25,2021-10-25,oct,10/21,20.1,27.5,0.2,7.0,25.9,62,1.4,25.6,64,1.9,26.33,63.0,27.2,26.2,25.4
2021-10-26,2021-10-26,oct,10/21,20.4,27.1,1.4,6.3,24.9,59,1.9,25.0,59,1.4,25.67,59.0,27.1,24.2,24.9
2021-10-27,2021-10-27,oct,10/21,20.2,28.3,0.0,10.5,25.7,64,1.4,27.0,55,0.3,27.0,59.5,26.8,26.1,27.4
2021-10-28,2021-10-28,oct,10/21,22.9,30.1,0.0,10.5,26.5,63,0.8,28.2,62,0.3,28.27,62.5,27.0,27.4,29.4
2021-10-29,2021-10-29,oct,10/21,22.1,29.5,0.4,0.0,25.6,66,1.9,25.1,55,2.2,26.73,60.5,27.4,25.6,23.8
2021-10-30,2021-10-30,oct,10/21,20.1,33.0,0.4,0.0,27.3,55,1.7,31.0,47,1.9,30.43,51.0,27.4,27.0,30.7
2021-10-31,2021-10-31,oct,10/21,19.4,23.6,12.0,8.4,23.5,60,1.9,22.7,52,1.9,23.27,56.0,28.2,22.6,21.2
2021-01-11,2021-01-11,nov,11/21,16.0,24.1,0.0,4.7,21.4,55,1.9,22.7,47,1.9,22.73,51.0,26.7,19.9,21.0
